Showers,Sinks,CW,DW,Baths
,0.0232289,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,0.2746877
,,,,
,,,,
,0.0048039,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0108544,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0144421,,,
,0.0746732,,,
,,,,
0.1065962,,,,
0.4263848,0.0006385,,,
,,,,
,,,,
,0.0017635,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0294618,,,
,,,,
,0.0175433,,,
,0.0626939,,,
0.0471882,,,,
0.235941,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0420493,,0.0726515,
,0.0164488,,0.0657576,
,0.0350258,,0.1268182,
,0.0069018,,0.0496591,
,0.0080572,,0.1020833,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0699301,,,
,,,,
,,,,
,0.0532381,,,
,0.0135604,,,
,0.0277288,,,
,,,,
,0.0018547,,,
,,,,
,,,,
,,,,
,,,,
,0.0469749,,,
,0.0036485,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0029492,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0150806,,,
,0.0065978,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0727273,,,
,0.0164184,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0803892,,,
,,,,
,,,,
,,,,
,6.08e-05,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0223776,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0095774,,,
,,,,
,0.0105199,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0295227,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0001216,,,
,0.0577987,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
