Date/Time,Appl_1:InteriorEquipment:Electricity [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),HEATING:GAS_1 [J](Hourly),HEATING:PROPANE_1 [m3](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly) 
 01/02  20:00:00,1225037.5691739976,0.0,0.0,5340100.268539341,5410605.982349635,90918.99919548813,0.0,3854797.778046692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089845.9664306819,0.0,381878.99365296578,344405.05985664817,1528085.0837954148,0.0,0.0,0.0,0.0,2463172.6163744407,32886.0,1555808.2043029438,0.0 
 01/02  21:00:00,1073752.4362870979,0.0,0.0,5143901.947969496,7654803.192706607,146163.77981285595,0.0,5526119.886936612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4374792.678627858,1730600.220684607,598715.2196150931,311607.0848809997,1436399.980301254,0.0,0.0,0.0,0.0,2454699.7515682887,32886.0,2128683.3057699955,0.0 
 01/02  22:00:00,1028508.8320078589,0.0,0.0,4631667.666389762,9818462.858145215,181039.80185937574,0.0,6803121.442338201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5362298.7138716499,1590317.6340493048,760510.5842327308,254223.78997978485,1375276.5768841792,0.0,0.0,0.0,0.0,2013956.4556383477,32886.0,3015341.415807014,0.0 
 01/02  23:00:00,845509.5529550103,0.0,0.0,3538065.73130948,9829865.294716269,216383.74868901133,0.0,8090715.71218091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6360991.393332462,1190102.5931992403,920652.7476303564,221425.81500413645,1222468.0683414927,0.0,0.0,0.0,0.0,1220818.3613239655,32886.0,1739149.5825353596,0.0 
 01/02  24:00:00,566765.837745014,0.0,0.0,2544121.5824103259,19943086.22942416,222097.5855342307,0.0,8199720.002394915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6428103.042243464,7697423.286957366,951644.9599119596,122979.2448525113,1100221.2615073436,0.0,0.0,0.0,0.0,622150.8976237377,32886.0,11743366.227029244,0.0 
 01/03  01:00:00,374401.0118661388,0.0,0.0,2072512.579060265,11774321.268533627,286641.5343929346,0.0,10741179.420113197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8430728.177017438,709621.4213646546,1236333.301084441,32797.9749756484,1069659.5597988063,0.0,0.0,0.0,0.0,308924.47300238566,32886.0,1033141.8484204293,0.0 
 01/03  02:00:00,322803.86038115128,0.0,0.0,1868957.5957744555,12398765.380107934,319376.8952101406,0.0,11792880.75999333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9226811.148243525,0.0,1386781.5357504723,16425.310100164195,1008536.1563817315,0.0,0.0,0.0,0.0,185354.6838014321,32886.0,605884.6201146047,0.0 
 01/03  03:00:00,275424.2100462132,0.0,0.0,1754045.673518362,12751284.292694303,344191.2195979997,0.0,12751284.292694303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9972505.888653888,0.0,1503649.974770985,4106.32752504106,977974.4546731942,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,0.0,0.0 
 01/03  04:00:00,246941.4284444812,0.0,0.0,1718410.4943980096,15033055.824466123,367600.52378791678,0.0,13477270.878963327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10510531.243514123,0.0,1619012.5475528709,4106.32752504106,947412.7529646568,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,1555784.9455027958,0.0 
 01/03  05:00:00,283584.255342467,0.0,0.0,1813041.859176645,15860130.762893733,381215.35097842177,0.0,14086292.134007607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10987435.808774727,1069254.1037786252,1690227.111832121,16425.310100164195,977974.4546731942,0.0,0.0,0.0,0.0,137381.7981825619,32886.0,1773838.628886126,0.0 
